Unnamed: 0,id,title,rating,genre,year,has_reviews,poster_url
118.0,tt8613070,Portrait of a Lady on Fire,8.1,"Drama, Romance",2019,True,
119.0,tt7984734,The Lighthouse,7.4,"Drama, Fantasy, Horror",2019,True,
120.0,tt7798634,Ready or Not,6.8,"Action, Comedy, Horror",2019,True,
121.0,tt4139588,Polar,6.3,"Action, Crime, Thriller",2019,True,
122.0,tt7349950,It: Chapter Two,6.5,"Drama, Fantasy, Horror",2019,True,
123.0,tt2584384,Jojo Rabbit,7.9,"Comedy, Drama, War",2019,True,
124.0,tt1488606,Triple Frontier,6.5,"Action, Thriller",2019,True,
125.0,tt7556122,The Old Guard,6.7,"Action, Thriller",2020,True,
126.0,tt8503618,Hamilton,8.3,"Biography, Drama, History",2020,True,
127.0,tt6723592,Tenet,7.3,"Action, Sci-Fi, Thriller",2020,True,
128.0,tt9484998,Palm Springs,7.4,"Comedy, Fantasy, Mystery",2020,True,
129.0,tt2106476,The Hunt,8.3,Drama,2020,True,
130.0,tt10272386,The Father,8.2,"Drama, Mystery",2020,True,
131.0,tt9620292,Promising Young Woman,7.5,"Crime, Drama, Mystery",2020,True,
132.0,tt10288566,Another Round,7.7,"Comedy, Drama",2020,True,
133.0,tt1051906,The Invisible Man,7.1,"Drama, Horror, Mystery",2020,True,
134.0,tt7395114,The Devil All the Time,7.1,"Crime, Drama, Thriller",2020,True,
135.0,tt6048922,Greyhound,7.0,"Drama, History, War",2020,True,
136.0,tt2948372,Soul,8.0,"Animation, Adventure, Comedy",2020,True,
137.0,tt8936646,Extraction,6.8,"Action, Crime, Thriller",2020,True,
138.0,tt3794354,Sonic the Hedgehog,6.5,"Action, Adventure, Comedy",2020,True,
139.0,tt8633478,Run,6.7,"Drama, Horror, Mystery",2020,True,
140.0,tt7737786,Greenland,6.4,"Action, Thriller",2020,True,
141.0,tt9214832,Emma.,6.7,"Comedy, Drama, Romance",2020,True,
142.0,tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,8.2,"Animation, Action, Adventure",2020,True,
143.0,tt7711170,Alone,6.2,"Drama, Mystery, Thriller",2020,True,
144.0,tt5867314,The Empty Man,6.2,"Drama, Horror, Mystery",2020,True,
145.0,tt7846844,Enola Holmes,6.6,"Adventure, Crime, Drama",2020,True,
146.0,tt6772802,Hillbilly Elegy,6.7,"Biography, Drama",2020,True,
147.0,tt8332922,A Quiet Place Part II,7.2,"Drama, Horror, Sci-Fi",2020,True,
148.0,tt1911644,The Call,6.7,"Drama, Horror, Thriller",2020,True,
149.0,tt7939766,I'm Thinking of Ending Things,6.5,"Drama, Thriller",2020,True,
150.0,tt1160419,Dune: Part One,8.0,"Action, Adventure, Drama",2021,True,
151.0,tt7888964,Nobody,7.4,"Action, Crime, Drama",2021,True,
152.0,tt10872600,Spider-Man: No Way Home,8.2,"Action, Adventure, Fantasy",2021,True,
153.0,tt2382320,No Time to Die,7.3,"Action, Adventure, Thriller",2021,True,
154.0,tt11083552,Wrath of Man,7.1,"Action, Crime, Thriller",2021,True,
155.0,tt9032400,Eternals,6.2,"Action, Adventure, Fantasy",2021,True,
156.0,tt6334354,The Suicide Squad,7.2,"Action, Adventure, Comedy",2021,True,
157.0,tt3480822,Black Widow,6.6,"Action, Adventure, Sci-Fi",2021,True,
158.0,tt9620288,King Richard,7.5,"Biography, Drama, Sport",2021,True,
159.0,tt8385148,Hitman's Wife's Bodyguard,6.1,"Action, Comedy, Crime",2021,True,
160.0,tt10370710,The Worst Person in the World,7.7,"Comedy, Drama, Romance",2021,True,
161.0,tt11286314,Don't Look Up,7.2,"Comedy, Drama, Sci-Fi",2021,True,
162.0,tt11235772,The Voyeurs,6.1,"Drama, Mystery, Romance",2021,True,
163.0,tt7144666,The Black Phone,6.9,"Horror, Mystery, Thriller",2021,True,
164.0,tt9777666,The Tomorrow War,6.6,"Action, Adventure, Drama",2021,True,
165.0,tt10366460,CODA,8.0,"Comedy, Drama, Music",2021,True,
166.0,tt6264654,Free Guy,7.1,"Action, Adventure, Comedy",2021,True,
167.0,tt12361974,Zack Snyder's Justice League,7.9,"Action, Adventure, Fantasy",2021,True,
168.0,tt9376612,Shang-Chi and the Legend of the Ten Rings,7.3,"Action, Adventure, Fantasy",2021,True,
169.0,tt11271038,Licorice Pizza,7.1,"Comedy, Drama, Romance",2021,True,
170.0,tt2953050,Encanto,7.2,"Animation, Comedy, Family",2021,True,
171.0,tt9639470,Last Night in Soho,7.0,"Drama, Horror, Mystery",2021,True,
172.0,tt6856242,The King's Man,6.3,"Action, Adventure, Thriller",2021,True,
173.0,tt7991608,Red Notice,6.3,"Action, Comedy, Thriller",2021,True,
174.0,tt9421570,The Guilty,6.3,"Crime, Drama, Thriller",2021,True,
175.0,tt1745960,Top Gun: Maverick,8.2,"Action, Drama",2022,True,
176.0,tt8760708,M3GAN,6.3,"Horror, Sci-Fi, Thriller",2022,True,
177.0,tt12593682,Bullet Train,7.3,"Action, Comedy, Thriller",2022,True,
178.0,tt10638522,Talk to Me,7.1,"Horror, Thriller",2022,True,
179.0,tt15791034,Barbarian,7.0,"Horror, Mystery, Thriller",2022,True,
180.0,tt1877830,The Batman,7.8,"Action, Crime, Drama",2022,True,
181.0,tt13560574,X,6.5,"Horror, Mystery, Thriller",2022,True,
182.0,tt9764362,The Menu,7.2,"Comedy, Horror, Thriller",2022,True,
183.0,tt11866324,Prey,7.1,"Action, Adventure, Horror",2022,True,
184.0,tt6710474,Everything Everywhere All at Once,7.8,"Action, Adventure, Comedy",2022,True,
185.0,tt10640346,Babylon,7.1,"Comedy, Drama",2022,True,
186.0,tt9114286,Black Panther: Wakanda Forever,6.6,"Action, Adventure, Drama",2022,True,
187.0,tt11813216,The Banshees of Inisherin,7.7,"Comedy, Drama",2022,True,
188.0,tt19770238,Aftersun,7.6,Drama,2022,True,
189.0,tt18925334,Pearl,7.0,"Drama, Horror, Thriller",2022,True,
190.0,tt11138512,The Northman,7.0,"Action, Adventure, Drama",2022,True,
191.0,tt15325794,Fall,6.4,"Action, Thriller",2022,True,
192.0,tt1649418,The Gray Man,6.5,"Action, Mystery, Thriller",2022,True,
193.0,tt11564570,Glass Onion,7.1,"Comedy, Crime, Drama",2022,True,
194.0,tt10731256,Don't Worry Darling,6.3,"Drama, Mystery, Thriller",2022,True,
195.0,tt10954984,Nope,6.8,"Horror, Mystery, Sci-Fi",2022,True,
196.0,tt1464335,Uncharted,6.3,"Action, Adventure",2022,True,
